source,dataset,seed,n,dimension,classes,metric,k,loo_error,loo_indicator_rate,replace_vulnerability,near_zero_margin_mass,mean_abs_margin,diagnostic_f1,duplicate_count
sklearn_builtin,iris,6,80,4,2,euclidean,11,0.0,0.0,0.0,0.0,11.0,1.0,1
sklearn_builtin,iris,6,80,4,2,euclidean,15,0.0,0.0,0.0,0.0,15.0,1.0,1
sklearn_builtin,iris,6,80,4,2,manhattan,1,0.0,0.0,1.0,1.0,1.0,1.0,1
sklearn_builtin,iris,6,80,4,2,manhattan,3,0.0,0.0,0.0,0.0,3.0,1.0,1
sklearn_builtin,iris,6,80,4,2,manhattan,5,0.0,0.0,0.0,0.0,5.0,1.0,1
sklearn_builtin,iris,6,80,4,2,manhattan,7,0.0,0.0,0.0,0.0,7.0,1.0,1
sklearn_builtin,iris,6,80,4,2,manhattan,9,0.0,0.0,0.0,0.0,9.0,1.0,1
sklearn_builtin,iris,6,80,4,2,manhattan,11,0.0,0.0,0.0,0.0,11.0,1.0,1
sklearn_builtin,iris,6,80,4,2,manhattan,15,0.0,0.0,0.0,0.0,15.0,1.0,1
sklearn_builtin,iris,6,80,4,2,cosine,1,0.0,0.0,1.0,1.0,1.0,1.0,1
sklearn_builtin,iris,6,80,4,2,cosine,3,0.0,0.0,0.0,0.0,3.0,1.0,1
sklearn_builtin,iris,6,80,4,2,cosine,5,0.0,0.0,0.0,0.0,5.0,1.0,1
sklearn_builtin,iris,6,80,4,2,cosine,7,0.0,0.0,0.0,0.0,7.0,1.0,1
sklearn_builtin,iris,6,80,4,2,cosine,9,0.0,0.0,0.0,0.0,9.0,1.0,1
sklearn_builtin,iris,6,80,4,2,cosine,11,0.0,0.0,0.0,0.0,11.0,1.0,1
sklearn_builtin,iris,6,80,4,2,cosine,15,0.0,0.0,0.0,0.0,15.0,1.0,1
sklearn_builtin,iris,7,80,4,2,euclidean,1,0.0,0.0,1.0,1.0,1.0,1.0,1
sklearn_builtin,iris,7,80,4,2,euclidean,3,0.0,0.0,0.0,0.0,3.0,1.0,1
sklearn_builtin,iris,7,80,4,2,euclidean,5,0.0,0.0,0.0,0.0,5.0,1.0,1
sklearn_builtin,iris,7,80,4,2,euclidean,7,0.0,0.0,0.0,0.0,7.0,1.0,1
