generator,jitter,seed,k,loo_error,loo_indicator_rate,replace_vulnerability,near_zero_margin_mass,mean_abs_margin,diagnostic_f1
blobs,0.0001,6,5,0.0,0.0,0.0,0.0,4.983333333333333,1.0
blobs,0.0001,6,7,0.0,0.0,0.0,0.0,6.916666666666667,1.0
blobs,0.0001,6,11,0.0,0.0,0.0,0.0,10.733333333333333,1.0
blobs,0.0001,7,1,0.008333333333333333,0.008333333333333333,1.0,1.0,1.0,1.0
blobs,0.0001,7,3,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,2.9833333333333334,1.0
blobs,0.0001,7,5,0.0,0.0,0.008333333333333333,0.008333333333333333,4.966666666666667,1.0
blobs,0.0001,7,7,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,6.933333333333334,1.0
blobs,0.0001,7,11,0.008333333333333333,0.0,0.008333333333333333,0.008333333333333333,10.9,1.0
blobs,0.01,0,1,0.058333333333333334,0.058333333333333334,1.0,1.0,1.0,1.0
blobs,0.01,0,3,0.075,0.05,0.10833333333333334,0.10833333333333334,2.783333333333333,1.0
blobs,0.01,0,5,0.075,0.03333333333333333,0.1,0.1,4.45,1.0
blobs,0.01,0,7,0.09166666666666666,0.03333333333333333,0.10833333333333334,0.10833333333333334,5.983333333333333,1.0
blobs,0.01,0,11,0.1,0.025,0.041666666666666664,0.041666666666666664,9.183333333333334,1.0
blobs,0.01,1,1,0.0,0.0,1.0,1.0,1.0,1.0
blobs,0.01,1,3,0.0,0.0,0.0,0.0,3.0,1.0
blobs,0.01,1,5,0.0,0.0,0.0,0.0,5.0,1.0
blobs,0.01,1,7,0.0,0.0,0.0,0.0,7.0,1.0
blobs,0.01,1,11,0.0,0.0,0.0,0.0,11.0,1.0
blobs,0.01,2,1,0.0,0.0,1.0,1.0,1.0,1.0
blobs,0.01,2,3,0.0,0.0,0.0,0.0,3.0,1.0
blobs,0.01,2,5,0.0,0.0,0.0,0.0,5.0,1.0
blobs,0.01,2,7,0.0,0.0,0.0,0.0,7.0,1.0
blobs,0.01,2,11,0.0,0.0,0.0,0.0,10.95,1.0
blobs,0.01,3,1,0.0,0.0,1.0,1.0,1.0,1.0
blobs,0.01,3,3,0.008333333333333333,0.008333333333333333,0.03333333333333333,0.03333333333333333,2.933333333333333,1.0
blobs,0.01,3,5,0.008333333333333333,0.0,0.016666666666666666,0.016666666666666666,4.9,1.0
blobs,0.01,3,7,0.016666666666666666,0.008333333333333333,0.008333333333333333,0.008333333333333333,6.833333333333333,1.0
blobs,0.01,3,11,0.008333333333333333,0.0,0.0,0.0,10.683333333333334,1.0
blobs,0.01,4,1,0.1,0.1,1.0,1.0,1.0,1.0
blobs,0.01,4,3,0.09166666666666666,0.058333333333333334,0.175,0.175,2.65,1.0
blobs,0.01,4,5,0.08333333333333333,0.008333333333333333,0.075,0.075,4.35,1.0
blobs,0.01,4,7,0.1,0.016666666666666666,0.058333333333333334,0.058333333333333334,5.916666666666667,1.0
blobs,0.01,4,11,0.09166666666666666,0.008333333333333333,0.05,0.05,9.0,1.0
blobs,0.01,5,1,0.5166666666666667,0.5166666666666667,1.0,1.0,1.0,1.0
blobs,0.01,5,3,0.475,0.23333333333333334,0.7416666666666667,0.7416666666666667,1.5166666666666666,1.0
blobs,0.01,5,5,0.48333333333333334,0.15833333333333333,0.575,0.575,1.9333333333333333,1.0
blobs,0.01,5,7,0.49166666666666664,0.15833333333333333,0.5,0.5,2.3833333333333333,1.0
blobs,0.01,5,11,0.425,0.08333333333333333,0.35,0.35,3.35,1.0
blobs,0.01,6,1,0.0,0.0,1.0,1.0,1.0,1.0
